,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
5980,22853565,來來超商股份有限公司,53001083,第二四二分公司,基隆市中正區中船路18號1樓,1,基隆市,北,OK
5981,22853565,來來超商股份有限公司,53001561,第四三三分公司,基隆市安樂區基金一路200號,1,基隆市,北,OK
5982,22853565,來來超商股份有限公司,53002772,第二一七分公司,基隆市七堵區泰安路23之12號,1,基隆市,北,OK
5983,22853565,來來超商股份有限公司,53002793,第二○九分公司,苗栗縣竹南鎮照南路2號,1,苗栗縣,中,OK
5984,22853565,來來超商股份有限公司,53003694,第一九一分公司,新北市蘆洲區中原路12巷25號,1,新北市,北,OK
5985,22853565,來來超商股份有限公司,53005476,第九○分公司,桃園市平鎮區德育路2段165號1樓,1,桃園市,北,OK
5986,22853565,來來超商股份有限公司,53005525,第一○二分公司,宜蘭縣宜蘭市神農路1段2號1樓,1,宜蘭縣,北,OK
5987,22853565,來來超商股份有限公司,53005573,第一○一分公司,宜蘭縣宜蘭市中山路3段290號1樓,1,宜蘭縣,北,OK
5988,22853565,來來超商股份有限公司,53006186,第七九分公司,臺中市大甲區順天路2號1樓,1,臺中市,中,OK
5989,22853565,來來超商股份有限公司,53006480,第四五五分公司,高雄市大寮區仁德路118號1樓,1,高雄市,南,OK
5990,22853565,來來超商股份有限公司,53006799,第七十一分公司,臺北市大同區重慶北路3段278之2號1樓,1,臺北市,北,OK
5991,22853565,來來超商股份有限公司,53007777,第五十四分公司,苗栗縣竹南鎮明勝路392號1樓,1,苗栗縣,中,OK
5992,22853565,來來超商股份有限公司,53008065,第七十五分公司,基隆市暖暖區碇內街210、212號1樓,1,基隆市,北,OK
5993,22853565,來來超商股份有限公司,53009156,第五十九分公司,彰化縣彰化市大埔路485巷37號1樓,1,彰化縣,中,OK
5994,22853565,來來超商股份有限公司,53010549,第五十七分公司,臺南市官田區南廍里南廍32號1樓,1,臺南市,南,OK
5995,22853565,來來超商股份有限公司,53011104,第一○四九分公司,宜蘭縣礁溪鄉仁愛路52號1樓,1,宜蘭縣,北,OK
5996,22853565,來來超商股份有限公司,53011245,第一○四六分公司,桃園市龜山區中興路166之5號1樓,1,桃園市,北,OK
5997,22853565,來來超商股份有限公司,53012624,第一○二七分公司,新北市八里區龍米路1段430號1樓,1,新北市,北,OK
5998,22853565,來來超商股份有限公司,53012650,第一五四分公司,基隆市七堵區東新街67號1樓,1,基隆市,北,OK
5999,22853565,來來超商股份有限公司,53012949,第一○○五分公司,臺中市中區平等街112、114號1樓,1,臺中市,中,OK
6000,22853565,來來超商股份有限公司,53012954,第一○二五分公司,南投縣名間鄉彰南路354之11、354之12號1樓,1,南投縣,中,OK
6001,22853565,來來超商股份有限公司,53012960,第一○三八分公司,基隆市安樂區基金一路112巷110弄15之10號1樓,1,基隆市,北,OK
6002,22853565,來來超商股份有限公司,53013757,第九八六分公司,宜蘭縣宜蘭市女中路3段180號1樓,1,宜蘭縣,北,OK
6003,22853565,來來超商股份有限公司,53014377,第九七九分公司,新北市永和區四維路65號1樓,1,新北市,北,OK
6004,22853565,來來超商股份有限公司,53015397,第九三八分公司,臺中市北區中清路1段690號1樓,1,臺中市,中,OK
6005,22853565,來來超商股份有限公司,53015571,第一○二二分公司,彰化縣彰化市天祥路241號1樓,1,彰化縣,中,OK
6006,22853565,來來超商股份有限公司,53015880,第九六一分公司,新竹縣竹東鎮學府路80、82號1樓,1,新竹縣,北,OK
6007,22853565,來來超商股份有限公司,53016092,第九九一分公司,臺中市梧棲區中央路1段825號1樓,1,臺中市,中,OK
6008,22853565,來來超商股份有限公司,53016430,第九五○分公司,桃園市觀音區大觀路2段161號1樓,1,桃園市,北,OK
6009,22853565,來來超商股份有限公司,53016852,第八二六分公司,臺南市北區開元路485巷37、39號1樓,1,臺南市,南,OK
6010,22853565,來來超商股份有限公司,53016868,第一○二九分公司,桃園市蘆竹區南竹路5段155號1樓,1,桃園市,北,OK
6011,22853565,來來超商股份有限公司,53018015,第六九五分公司,臺中市大里區中興路2段92號1樓,1,臺中市,中,OK
6012,22853565,來來超商股份有限公司,53018177,第八四七分公司,新北市樹林區柑園街2段119、121號1樓,1,新北市,北,OK
6013,22853565,來來超商股份有限公司,53018726,第八四三分公司,新北市土城區南天母路10號1樓,1,新北市,北,OK
6014,22853565,來來超商股份有限公司,53018731,第九二一分公司,彰化縣和美鎮道周路535號1樓,1,彰化縣,中,OK
6015,22853565,來來超商股份有限公司,53018752,第七七六分公司,臺中市霧峰區錦州路399號1樓,1,臺中市,中,OK
