公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lng,lat
22853565,來來超商股份有限公司,70748923,第四四六分公司,基隆市7堵區南興路82號,1,121.712786,25.096981
22853565,來來超商股份有限公司,70748944,第四五一分公司,臺北市北投區立農街2段292號、義理街96號,3,121.5164193,25.1185522
22853565,來來超商股份有限公司,70748959,第四四五分公司,臺中市西區博館路117號,3,120.6652074,24.1564984
22853565,來來超商股份有限公司,70749129,第四四三分公司,彰化縣和美鎮彰美路4段438號,3,120.5056,24.105733
22853565,來來超商股份有限公司,70749578,第四五二分公司,臺北市士林區後港街152之2號,3,121.520926,25.087352
22853565,來來超商股份有限公司,70749583,第四五三分公司,新北市樹林區臺北縣樹林鎮中正路724號,3,121.4090538,25.0181984
22853565,來來超商股份有限公司,70749599,第四四七分公司,桃園市中壢區華勛街305號,3,121.260443,24.947759
22853565,來來超商股份有限公司,70750271,第四四八分公司,桃園市中壢區成章2街583號,3,121.251675,24.978642
22853565,來來超商股份有限公司,70750602,第四五四分公司,新北市汐止區明峰街281號,1,121.6265408,25.0683354
22853565,來來超商股份有限公司,70750618,第四五五分公司,新北市3峽區中正路1段415號,3,121.37033,24.920302
22853565,來來超商股份有限公司,70751004,第四五七分公司,新北市中和區民安街51號,3,121.4795801,24.9999843
22853565,來來超商股份有限公司,70751074,第四五六分公司,臺中市國光路240號,3,120.679093,24.1243807
